SCG ID,Solution Name,Solution Version,Product Name,Product Version,Feature/Component,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example
esxi-7.account-auto-unlock-time,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must unlock accounts after a specified timeout period.,"Ensures that user accounts on the ESXi host are automatically unlocked after a defined period of inactivity. By enforcing automatic account unlocking, organizations can maintain a balance between security and usability, ensuring that idle accounts are reactivated promptly while minimizing the potential for unauthorized access.",Security.AccountUnlockTime,900,900,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900
esxi-7.account-lockout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must lock an account after a specified number of failed login attempts.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator.",Security.AccountLockFailures,5,5,YES,Audit,"ESXi Advanced
System Settings","A low threshold for login failures can create an avenue for denial-of-service attacks, whether intentional or unintentional, such as with SSH connection retries.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5
esxi-7.account-password-history,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Configure the password history setting to restrict the reuse of passwords on the ESXi host.,"Prevent the reuse of previous passwords, thus mitigating potential breaches from old, compromised credentials.",Security.PasswordHistory,0,5,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5
esxi-7.account-password-max-days,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must be configured with an appropriate maximum password age.,"Modern best practices for passwords, as outlined in NIST 800-63B Section 5.1.1.2 and other relevant guidance, state that enforcing periodic password changes does not enhance security when passwords already possess adequate entropy.",Security.PasswordMaxDays,9999,9999,YES,Audit,"ESXi Advanced
System Settings",vSphere UIs may not permit this to be set without providing an email address for an alert. Use PowerCLI or provide an email address (to receive email you will need to configure an SMTP server in vCenter Server),Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays | Set-AdvancedSetting -Value 99999
esxi-7.account-password-policies,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must enforce password complexity.,"Based on recommendations such as NIST 800-63B Section 5.1.1.2, it is suggested that composition rules, such as mandating mixtures of character classes, should not be enforced on systems as they often fail to enhance password security and discourage the adoption of more secure passphrases.

Password strength and complexity rules are applicable to all ESXi users, including the root user. However, when the ESX host is joined to a domain, these rules do not apply to Active Directory (AD) users as password policies for AD users are enforced by the AD system.",Security.PasswordQualityControl,"""retry=3 min=disabled,disabled,disabled,7,7""","""retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3""",NO,Modify,"ESXi Advanced
System Settings",Other products and services within the VMware ecosystem may not expect changes to password complexity requirements and may fail installation.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl | Set-AdvancedSetting -Value ""retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3"""
esxi-7.ad-auth-proxy,VMware vSphere,7,VMware ESXi,7.0.3,Active Directory,"P0
Upon Feature Enablement",The vCenter Server must use the vSphere Authentication Proxy to avoid storing Active Directory credentials.,"The vSphere Authentication Proxy enables vCenter to connect to and manage AD entities without the need to directly store AD credentials, which reduces the risk of credential exposure or misuse.",N/A,Not Configured,Configured If Feature In Use,NO,Modify,"ESXi Settings
Authentication Services",None,"Get-VMHost -Name $ESXi | Get-VMHostAuthentication | Select-Object VMHost,Domain,DomainMembershipStatus",N/A
esxi-7.annotations-welcomemessage,VMware vSphere,7,VMware ESXi,7.0.3,Base,P1,Configure the ESXi host login banner for the DCUI and Host Client.,"ESXi enables the display of a login message often used to deter intruders by declaring their activities as illegal, and to inform authorized users of their responsibilities and conditions for system use. While not a direct technical security control, this has positive implications for enforcement and prosecution if attackers are caught. This parameter defines the text displayed on both the Host Client login page and DCUI.",Annotations.WelcomeMessage,Not Configured,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,"ESXi Advanced
System Settings","Masks the ""F2/F12"" and IP address information on the DCUI, which can be a benefit, but may also require documentation and/or training.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time."""
esxi-7.api-soap-timeout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",Config.HostAgent.vmacore.soap.sessionTimeout,30,30,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 30
esxi-7.cpu-hyperthread-warning,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"Hyperthreading security warnings signify unaddressed CPU vulnerabilities in the system, and ignoring these could mask potential risks. Ensure that hardware remediations align with your organization's accepted risk, and if suppressing a warning, document the decision and rationale.",UserVars.SuppressHyperthreadWarning,0,0,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0
esxi-7.dcui-timeout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,Set a timeout to automatically terminate idle DCUI sessions on the ESXi host.,"DCUI allows direct login to the ESXi host for managing tasks. To prevent unintended DCUI usage from leftover login sessions, It is essential to terminate idle connections.",UserVars.DcuiTimeOut,600,600,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.DcuiTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600
