profile,control_id,reason
VMware_SCG_6.7,esx.logs-remote,expected value is prose (Site-Specific)
VMware_SCG_6.7,esx.lockdown-dcui-access,expected value is prose (List of authorized users)
VMware_SCG_6.7,esx.account-password-policies,expected value is prose (Site-Specific)
VMware_SCG_6.7,vm.transparentpagesharing-inter-vm-enabled,expected value is prose (Site-Specific)
VMware_SCG_7.0,esx.annotations-welcomemessage,expected value is prose (consult legal advisors)
VMware_SCG_7.0,esx.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_7.0,esx.logs-remote,expected value is prose (Site-Specific Log Server)
VMware_SCG_7.0,vc.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_8.0,esx.annotations-welcomemessage,expected value is prose (consult legal advisors)
VMware_SCG_8.0,esx.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_8.0,esx.logs-remote,expected value is prose (Site-Specific Log Server)
VMware_SCG_8.0,vc.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_9.0,esx.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_9.0,esx.log-forwarding,expected value is prose (Site-Specific Log Server)
VMware_SCG_9.0,esx.login-message,expected value is prose (consult legal advisors)
VMware_SCG_9.0,vc.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_9.0,esx.ad-admin-group-name,expected value is prose (Anything But ESX Admins)
VMware_SCG_9.1,esx.ad-admin-group-name,expected value is prose (Site-Specific Active Directory group)
VMware_SCG_9.1,esx.etc-issue,expected value is prose (consult legal advisors)
VMware_SCG_9.1,esx.log-forwarding,expected value is prose (Site-Specific Log Server)
VMware_SCG_9.1,esx.login-message,expected value is prose (consult legal advisors)
VMware_SCG_9.1,vc.etc-issue,expected value is prose (consult legal advisors)
