Guideline ID,Description,Vulnerability Discussion,Configuration Parameter,Desired Value,Default Value,Is desired value the default?,Action Type,Assessment using Web Client,Negative Functional Impact,Remediation using Web Client,vSphere API,ESXi Shell Command Assessment,ESXi Shell Command Remediation,vCLI Command Assessment,vCLI Command Remediation,PowerCLI Command Assessment,PowerCLI Command Remediation,Able to set using Host Profile,Reference,Hardening,Site-Specific Setting,Audit Setting
ESXi.apply-patches,Keep ESXi system properly patched,"By staying up to date on ESXi patches, vulnerabilities in the hypervisor can be mitigated. An educated attacker can exploit known vulnerabilities when attempting to attain access or elevate privileges on an ESXi host.",N/A,N/A,N/A,Yes,Update,"From the vSphere web client select the host and click ""Summary"". Expand ""Configuration"" and verify ""ESX/ESXi Version"" and ""Image Profile"" strings. Those strings would tell you the current image version of the host. Ensure that the image version is the latest one given by VMware.",None,"Employ a process to keep ESXi hosts up to date with patches in accordance with industry-standards and internal guidelines. VMware Update Manager is an automated tool that can greatly assist with this. VMware also publishes Advisories on security patches, and offers a way to subscribe to email alerts for them.
https://www.vmware.com/support/policies/security_response",https://code.vmware.com/apis/358/vsphere#/doc/vim.host.PatchManager.Status.html,# esxcli software profile get / # esxcli software vib get,# esxcli software profile update / # esxcli software vib update,# esxcli <conn_options> software profile get / # esxcli <conn_options> software vib get,# esxcli conn_options software profile update / # esxcli conn_options software vib update,"# VMware Update Manager PowerCLI Cmdlets can be used to check this feature. See sample scripts here for PowerCLI 11: 

https://code.vmware.com/docs/7335/powercli-11-0-0-user-s-guide?h=powercli%2011#/doc/GUID-BCD266EC-2A66-4F35-8E2E-0138C10D7007.html","# VMware Update Manager PowerCLI Cmdlets can be used to check this feature. See sample scripts here for PowerCLI 11: 

https://code.vmware.com/docs/7335/powercli-11-0-0-user-s-guide?h=powercli%2011#/doc/GUID-BCD266EC-2A66-4F35-8E2E-0138C10D7007.html",NO,"https://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.update_manager.doc/GUID-D53B8D36-A8D7-4B3B-895C-929267508026.html

https://www.vmware.com/support/policies/security_response
",TRUE,FALSE,FALSE
ESXi.audit-exception-users,Audit the list of users who are on the Exception Users List and whether the have administrator privleges,"In vSphere 6.0 and later, you can add users to the Exception Users list from the vSphere Web Client. These users do not lose their permissions when the host enters lockdown mode. Usually you may want to add service accounts such as a backup agent to the Exception Users list. Verify that the list of users who are exempted from losing permissions is legitimate and as needed per your enviornment. Users who do not require special permissions should not be exempted from lockdown mode.",N/A,Site-Specific,NULL,No,Audit Only,"From the vSphere web client, select host and click on ""Configure"" -> ""Settings"" -> ""System"" -> ""Security Profile"". Scroll down until ""Lockdown Mode"". Verify that the list of ""Exception Users"" is legitimate.",None,"From the vSphere web client, select host and click on ""Configure"" -> ""Settings"" -> ""System"" -> ""Security Profile"". Scroll down until ""Lockdown Mode"".&nbsp; Click ""Edit"" and then click on ""Exception Users"". Add or delete users as per your site requirements.",,,,,,"#Sample code to check each local user on an ESXi host
#against the list in vCenter's exception user list. Also checks
#to see if the local user has administrator privleges.
#
# Provide the username and password of an account on your ESXi hosts.
# Provide the name of your vCenter Server
$esxusername = ""root""
$esxpassword = ""VMware1!""
$vCenterServer = ""vcsa.lab.local""

#Ensure all connections are dropped.
Disconnect-VIServer -Force -server * -Confirm:$False

# You may need to provide the username and password of your vCenter server below
connect-viserver $vCenterServer
$esxihosts = get-vmhost

#
foreach ($esxihost in $esxihosts)
{
Write-Host ""Host is: "" $esxihost
Write-host ""Exception Users from vCenter""
$myhost = Get-VMHost $esxihost | Get-View
$lockdown = Get-View $myhost.ConfigManager.HostAccessManager
$LDusers = $lockdown.QueryLockdownExceptions()
Write-host $LDusers

# Connect to each ESXi host in the cluster to retrieve the list of local users.
Write-Host ""Lockdown user: "" $LDuser
    Write-host ""Connecting to: "" $esxihost
    Connect-VIServer -Server $esxihost -user $esxusername -Password $esxpassword

#Loop through the list of Exception Users and check to see if they have accounts on
#the ESXi server and if that account in an administrator account.
foreach ($LDuser in $LDusers)
    {

    Write-host ""Get-vmhostaccount""
    $hostaccountname = get-vmhostaccount   -ErrorAction SilentlyContinue  $LDuser
    write-host ""Check to see if user exists""
    if ($hostaccountname.Name)
    Write-Host $hostaccountname.Name
        {
        Write-Host ""Get-VIPermission""
        $isadmin = Get-VIPermission -Principal $LDuser -ErrorAction SilentlyContinue | Where {$_.Role –eq “Admin”} 
        Write-host ""Admin Role: "" $isadmin.Role
        if ($isadmin.Role -eq ""Admin"") {Write-Host $LDuser is an ""Exception User with Admin accounts on "" $esxihost}
        }
     Disconnect-VIServer -Server $global:DefaultVIServer -Force  -Confirm:$False
    
    }
}

",,N/A,"​http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.security.doc/GUID-6CD8C2E3-7925-4706-8271-F42F2BCFF95D.html
http://blogs.vmware.com/vsphere/2015/03/vsphere-6-0-lockdown-mode-exception-users.html",FALSE,TRUE,FALSE
ESXi.Audit-SSH-Disable,Ensure that the SSH default disablement has not been changed,SSH is disabled by default on ESXi. The use of SSH to an ESXi host should be limited in scope and use. SSH enablement is controlled via the SSH service. This service is stopped by default. ,,False,Stopped,No,Audit Only,"In the vSphere Web Client, select the host in the vCenter inventory. Select Configure. In the System Section, select Security Profile and click Edit. Check that the SSH service is reported as Stopped.",The default setting is Stopped,"In the vSphere Web Client, select the host in the vCenter inventory. Select Configure. In the System Section, select Security Profile and click Edit. Check that the SSH service is reported as Stopped. If it is not, press the Stop button and ensure the Startup Policy is set to ""Start and Stop Manually""",,,,,,"#Check to see if the SSH Server Is running
foreach ($VMhost in (Get-VMHost))
{
$ServiceList = Get-VMHostService -VMhost $VMhost
$SSHservice = $ServiceList | Where-Object {$_.Key -eq ""TSM-SSH""}
If ($SSHservice.Running -eq $True) {Write-Output ""SSH Server on host $VMhost is running""}
else {Write-Output ""SSH Server on host $VMhost is Stopped""}
}",,N/A,,FALSE,FALSE,TRUE
ESXi.config-ntp,Configure NTP time synchronization,"By ensuring that all systems use the same relative time source (including the relevant localization offset), and that the relative time source can be correlated to an agreed-upon time standard (such as Coordinated Universal Time—UTC), you can make it simpler to track and correlate an intruder’s actions when reviewing the relevant log files. Incorrect time settings can make it difficult to inspect and correlate log files to detect attacks, and can make auditing inaccurate.",N/A,Site-Specific,NULL,No,Modify,"From the vSphere web client select the host and click ""Configure"" -> ""Time Configuration"" and click the ""Edit..."" button. Provide the name/IP of your NTP servers, start the NTP service and change the startup policy to ""Start and stop with host"". Notes: verify the NTP firewall ports are open. It is recommended to synchronize the ESXi clock with a time server that is located on the management network rather than directly with a time server on a public network. This time server can then synchronize with a public source through a strictly controlled network connection with a firewall.",None,"In the vSphere Web Client, select the host in the vCenter inventory. Select Configure -> Settings. In the System Section, select Time Configuration and click Edit. Select ""Use Network Time Protocol (Enable NTP client), set the NTP service startup policy, enter the IP addresses of the NTP servers to synchronize with, and click Start or Restart.",https://code.vmware.com/apis/358/vsphere#/doc/vim.host.DateTimeSystem.html,N/A,N/A,# vicfg-ntp <conn_options> --list,# vicfg-ntp conn_options --add IP,"# List the NTP Settings for all hosts 
Get-VMHost | Select Name, @{N=""NTPSetting"";E={$_ | Get-VMHostNtpServer}}","# Set the NTP Settings for all hosts
$NTPServers = ""pool.ntp.org"", ""pool2.ntp.org""Get-VMHost | Add-VmHostNtpServer $NTPServers",YES,http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.security.doc/GUID-2553C86E-7981-4F79-B9FC-A6CECA52F6CC.html,FALSE,TRUE,FALSE
ESXi.config-persistent-logs,Configure persistent logging for all ESXi host,"ESXi can be configured to store log files on an in-memory file system.  This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of logs are stored at any time. In addition log files will be reinitialized upon each reboot.  This presents a security risk as user activity logged on the host is only stored temporarily and will not persistent across reboots.  This can also complicate auditing and make it harder to monitor events and diagnose issues.  ESXi host logging should always be configured to a persistent datastore.",Syslog.global.logDir,Site-Specific,[] /scratch/log,No,Modify,"From the vSphere web client select the host and click ""Configure"" -> ""Settings"" -> ""Advanced System settings"". Look for ""Syslog.global.logDir"" parameter name and ensure that it is not set to ""[] /scratch/log"" or is not blank.",None,"1. Identify the datastore path where you want to place scratch, then login to the vSphere Web Client. 
2. Navigating to the host and select ""Configure"" and select ""Advanced System Settings"" in the System panel. 
3. Enter ""Syslog.global.LogDir"" in the filter.

 Set the ""Syslog.global.LogDir"" to the desired datastore path.
Note: the Syslog.global.LogDir must be set for each host",https://code.vmware.com/apis/196/vsphere#/doc/vim.option.OptionManager.html,# esxcli system syslog config get,# esxcli system syslog config set --logDir,# esxcli <conn_options> system syslog config get,# esxcli conn_options  system syslog config set --logDir,"# List Syslog.global.logDir for each host
Get-VMHost | Select Name, @{N=""Syslog.global.logDir"";E={$_ | Get-VMHostAdvancedConfiguration Syslog.global.logDir | Select -ExpandProperty Values}}","# Set Syslog.global.logDir for each host
Get-VMHost | Foreach { Set-VMHostAdvancedConfiguration -VMHost $_ -Name Syslog.global.logDir -Value ""NewLocation"" }",YES,"http://kb.vmware.com/kb/1033696

https://docs.vmware.com/en/VMware-vSphere/6.7/com.vmware.vsphere.security.doc/GUID-9F67DB52-F469-451F-B6C8-DAE8D95976E7.html",FALSE,TRUE,FALSE
ESXi.config-snmp,Ensure proper SNMP configuration,"If SNMP is not being used, it should remain disabled. If it is being used, the proper trap destination should be configured. If SNMP is not properly configured, monitoring information can be sent to a malicious host that can then use this information to plan an attack.  Note:  ESXi 5.1 and later supports SNMPv3 which provides stronger security than SNMPv1 or SNMPv2, including key authentication and encryption. Deciding what version of SNMP to use (v1, v2 or v3) is a Site-Specific setting.",N/A,site-specific,Disabled,No,Modify,"From the vSphere web client select the host and click ""Configure"" -> ""Settings"" -> ""Security Profile"". Look for ""SNMP Server"" under ""Services"" section. Its status should be ""Stopped"" until and unless you are using snmp in your enviornment.",None,"You do not configure the SNMP agent with the vSphere Web Client. Use esxcli, PowerCLI, or the vSphere Web Services SDK. ",https://code.vmware.com/apis/358/vsphere#/doc/vim.host.SnmpSystem.html,# esxcli  system snmp get,"# Configure Community String
esxcli system snmp set --communities [COMMUNITY]
# Configure SNMP Targetesxcli system snmp set --targets [TARGET]@[PORT]/[COMMUNITY]
# Enable SNMPesxcli system snmp set --enable True",# esxcli <conn_options> system snmp get,"# Configure Community String
esxcli conn_options system snmp set --communities [COMMUNITY]
# Configure SNMP Target
esxcli conn_options system snmp set --targets [TARGET]@[PORT]/[COMMUNITY]
# Enable SNMP
esxcli conn_options system snmp set --enable True","# List the SNMP Configuration of a host (single host connection required)
Get-VMHost | Get-VMHostSnmp","# Update the host SNMP Configuration (single host connection required)
Get-VmHostSNMP | Set-VMHostSNMP -Enabled:$True -ReadOnlyCommunity 'secret'",YES,"http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.monitoring.doc/GUID-8EF36D7D-59B6-4C74-B1AA-4A9D18AB6250.html


http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.security.doc/GUID-4309DE28-AFB6-4B2D-A8EA-A38D36A8C6E6.html

SNMP V3 configuration - http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.monitoring.doc/GUID-2E4B0F2A-11D8-4649-AC6C-99F89CE93026.html

",FALSE,TRUE,FALSE
ESXi.disable-cim,Configure or disable CIM.,CIM should be disabled if not in use.,N/A,False,Enabled,No,Modify,"Host -> ""Configure"" tab -> ""System"" group -> ""Services""",Disabling CIM may affect monitoring and third-party systems that use the WBEM DTMF protocols.,,,YES,,,,"# Get-VMHostService -VMHost * | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Running -eq 'True'}
# Get-VMHostService -VMHost * | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Policy -eq 'On'}","# Get-VMHostService -VMHost * | where {$_.Key -eq 'sfcbd-watchdog'} | Set-VMHostService -Policy Off
# Get-VMHostService -VMHost * | where {$_.Key -eq 'sfcbd-watchdog'} | Stop-VMHostService",YES,,TRUE,FALSE,FALSE
ESXi.disable-mob,Disable Managed Object Browser (MOB),The managed object browser (MOB) provides a way to explore the object model used by the VMkernel to manage the host; it enables configurations to be changed as well. This interface is meant to be used primarily for debugging the vSphere SDK. In Sphere 6.x this is disabled by default. This guideline is here to remind you to audit your ESXi servers to ensure someone hasn't turned on the MOB.,Config.HostAgent.plugins.solo.enableMob,False,FALSE,Yes,Audit Only,"Open the Web Client, Select the settings for the host, Select ""Advanced System Settings"" and search for ""Config.HostAgent.plugins.solo.enableMob"". Ensure the value is False (default in 6.0 and later).",None. This is disabled by default.,"Open the Web Client, Select the settings for the host, Select ""Advanced System Settings"" and search for ""Config.HostAgent.plugins.solo.enableMob"" and set the value to False if it isn't currently False. ",N/A,vim-cmd hostsvc/advopt/view Config.HostAgent.plugins.solo.enableMob,vim-cmd hostsvc/advopt/update Config.HostAgent.plugins.solo.enableMob bool True,N/A,N/A,Get-VMHost <host> | Get-AdvancedSetting -Name Config.HostAgent.plugins.solo.enableMob,"Get-VMHost <host> | Get-AdvancedSetting -Name Config.HostAgent.plugins.solo.enableMob |Set-AdvancedSetting -value ""False""",YES,http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.security.doc/GUID-0EF83EA7-277C-400B-B697-04BDC9173EA3.html,FALSE,FALSE,TRUE
ESXi.disable-slp,Configure or disable SLP.,SLP should be disabled if not in use.,N/A,False,Enabled,No,Modify,"Host -> ""Configure"" tab -> ""System"" group -> ""Services""",Disabling SLP may affect monitoring and third-party systems that use the WBEM DTMF protocols.,,,YES,,,,"# Get-VMHostService -VMHost * | Where-Object {$_.Key -eq 'slpd' -and $_.Running -eq 'True'}
# Get-VMHostService -VMHost * | Where-Object {$_.Key -eq 'slpd' -and $_.Policy -eq 'On'}","# Get-VMHostService -VMHost * | where {$_.Key -eq 'slpd'} | Set-VMHostService -Policy Off
# Get-VMHostService -VMHost * | where {$_.Key -eq 'slpd'} | Stop-VMHostService",YES,,TRUE,FALSE,FALSE
ESXi.enable-ad-auth,Use Active Directory for local user authentication,"Join ESXi hosts to an Active Directory (AD) domain to eliminate the need to create and maintain multiple local user accounts. Using AD for user authentication simplifies the ESXi host configuration, ensures password complexity and reuse policies are enforced and reduces the risk of security breaches and unauthorized access.  Note: if the AD group ""ESX Admins"" (default) exists then all users and groups that are assigned as members to this group will have full administrative access to all ESXi hosts the domain.",N/A,Site-Specific,Local Authentication,No,Add,"From the vSphere Web Client, select the host and go to ""Configure"" -> ""Authentication Services"". Verify that ""Domain"" and ""Trusted Domain Controller"" settings under ""Domain Settings"" section are configured as appropriate.",None,"From the vSphere Web Client, select the host and go to ""Configure"" -> ""Authentication Services"" and click the ""Join Domain"" button. Provide the domain name along with the user credentials for an AD user that has the rights to join computers to the domain. Notes: 
(1) you can use Host Profiles to automate adding hosts to an AD domain.
(2) Consider using the vSphere Authentication proxy to avoid transmitting AD credentials over the network. Refer to the ""enable-auth-proxy"" recommendation for more information.",https://code.vmware.com/apis/358/vsphere#/doc/vim.host.ActiveDirectoryAuthentication.html,TBD,N/A,vicfg-authconfig <conn_options> --authscheme AD --currentdomain,vicfg-authconfig conn_options ad_conn_options --authscheme AD --joindomain domain_FQDN,"# Check each host and their domain membership status
Get-VMHost | Get-VMHostAuthentication | Select VmHost, Domain, DomainMembershipStatus","# Join the ESXI Host to the Domain
Get-VMHost  | Get-VMHostAuthentication | Set-VMHostAuthentication -Domain $domain -User $username -Password $password -JoinDomain",YES,http://pubs.vmware.com/vsphere-67/topic/com.vmware.vsphere.security.doc/GUID-4FD32125-4955-439D-B39F-C654CCB207DC.html,FALSE,TRUE,FALSE
