control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.account-auto-unlock-time,P2,HostSystem,VMWARE,Security.AccountUnlockTime,advanced_setting,integer,900,The ESXi host must unlock accounts after a specified timeout period.,"Ensures that user accounts on the ESXi host are automatically unlocked after a defined period of inactivity. By enforcing automatic account unlocking, organizations can maintain a balance between security and usability, ensuring that idle accounts are reactivated promptly while minimizing the potential for unauthorized access.",SCG-7.0:esxi-7.account-auto-unlock-time,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900,
esx.account-lockout,P2,HostSystem,VMWARE,Security.AccountLockFailures,advanced_setting,integer,5,The ESXi host must lock an account after a specified number of failed login attempts.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator.",SCG-7.0:esxi-7.account-lockout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5,
esx.account-password-history,P0,HostSystem,VMWARE,Security.PasswordHistory,advanced_setting,integer,5,Configure the password history setting to restrict the reuse of passwords on the ESXi host.,"Prevent the reuse of previous passwords, thus mitigating potential breaches from old, compromised credentials.",SCG-7.0:esxi-7.account-password-history,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5,
esx.account-password-max-days,P2,HostSystem,VMWARE,Security.PasswordMaxDays,advanced_setting,integer,9999,The ESXi host must be configured with an appropriate maximum password age.,"Modern best practices for passwords, as outlined in NIST 800-63B Section 5.1.1.2 and other relevant guidance, state that enforcing periodic password changes does not enhance security when passwords already possess adequate entropy.",SCG-7.0:esxi-7.account-password-max-days,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays | Set-AdvancedSetting -Value 99999,
esx.account-password-policies,P0,HostSystem,VMWARE,Security.PasswordQualityControl,advanced_setting,string,"""retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3""",The ESXi host must enforce password complexity.,"Based on recommendations such as NIST 800-63B Section 5.1.1.2, it is suggested that composition rules, such as mandating mixtures of character classes, should not be enforced on systems as they often fail to enhance password security and discourage the adoption of more secure passphrases.

Password strength and complexity rules are applicable to all ESXi users, including the root user. However, when the ESX host is joined to a domain, these rules do not apply to Active Directory (AD) users as password policies for AD users are enforced by the AD system.",SCG-7.0:esxi-7.account-password-policies,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl | Set-AdvancedSetting -Value ""retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3""",
esx.ad-auth-proxy,P0,HostSystem,VMWARE,,powercli_only,string,Configured If Feature In Use,The vCenter Server must use the vSphere Authentication Proxy to avoid storing Active Directory credentials.,"The vSphere Authentication Proxy enables vCenter to connect to and manage AD entities without the need to directly store AD credentials, which reduces the risk of credential exposure or misuse.",SCG-7.0:esxi-7.ad-auth-proxy,N/A,
esx.annotations-welcomemessage,P1,HostSystem,VMWARE,Annotations.WelcomeMessage,advanced_setting,string,Consult your organization's legal advisors for text that is applicable to your environment.,Configure the ESXi host login banner for the DCUI and Host Client.,"ESXi enables the display of a login message often used to deter intruders by declaring their activities as illegal, and to inform authorized users of their responsibilities and conditions for system use. While not a direct technical security control, this has positive implications for enforcement and prosecution if attackers are caught. This parameter defines the text displayed on both the Host Client login page and DCUI.",SCG-7.0:esxi-7.annotations-welcomemessage,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",
esx.api-soap-timeout,P2,HostSystem,VMWARE,Config.HostAgent.vmacore.soap.sessionTimeout,advanced_setting,integer,30,The ESXi host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",SCG-7.0:esxi-7.api-soap-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 30,
esx.cpu-hyperthread-warning,P2,HostSystem,VMWARE,UserVars.SuppressHyperthreadWarning,advanced_setting,integer,0,The ESXi host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"Hyperthreading security warnings signify unaddressed CPU vulnerabilities in the system, and ignoring these could mask potential risks. Ensure that hardware remediations align with your organization's accepted risk, and if suppressing a warning, document the decision and rationale.",SCG-7.0:esxi-7.cpu-hyperthread-warning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0,
esx.dcui-timeout,P2,HostSystem,VMWARE,UserVars.DcuiTimeOut,advanced_setting,integer,600,Set a timeout to automatically terminate idle DCUI sessions on the ESXi host.,"DCUI allows direct login to the ESXi host for managing tasks. To prevent unintended DCUI usage from leftover login sessions, It is essential to terminate idle connections.",SCG-7.0:esxi-7.dcui-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600,
esx.deactivate-cim,P0,HostSystem,VMWARE,service.sfcbd-watchdog.running,vim_property,boolean,false,The ESXi CIM service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-cim,Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Set-VMHostService -Policy Off ; Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Stop-VMHostService,service_state:sfcbd-watchdog:running
esx.deactivate-mob,P2,HostSystem,VMWARE,Config.HostAgent.plugins.solo.enableMob,advanced_setting,boolean,False,The ESXi Managed Object Browser (MOB) must be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-mob,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False,
esx.deactivate-shell,P2,HostSystem,VMWARE,service.TSM.running,vim_property,boolean,false,The ESXi shell should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-shell,Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Set-VMHostService -Policy Off ; Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Stop-VMHostService,service_state:TSM:running
esx.deactivate-slp,P2,HostSystem,VMWARE,service.slpd.running,vim_property,boolean,false,The ESXi SLP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,SCG-7.0:esxi-7.deactivate-slp,Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Set-VMHostService -Policy Off ; Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Stop-VMHostService,service_state:slpd:running
